,particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,tipo,año,ncodi
3575,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"1024,00"
3576,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"1017,00"
3577,56133.0,5167403.0,5110587.0,56816.0,18952.0,Urgencia,2013,"1000,00"
3578,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"1018,00"
3579,36728.0,2179341.0,2179341.0,0.0,0.0,Urgencia,2013,"1001,00"
3580,4352.0,321033.0,13633.0,307400.0,38392.0,Urgencia,2013,"1007,00"
3581,668.0,205908.0,5679.0,200229.0,24912.0,Urgencia,2013,"1008,00"
3582,44374.0,486066.0,29616.0,456450.0,66442.0,Urgencia,2013,"1009,00"
3583,18559.0,236601.0,9624.0,226977.0,37798.0,Urgencia,2013,"1010,00"
3584,7444.0,180929.0,14442.0,166487.0,24274.0,Urgencia,2013,"1011,00"
3585,5716.0,196801.0,22484.0,174317.0,60833.0,Urgencia,2013,"1012,00"
3586,13093.0,449326.0,39591.0,409735.0,32745.0,Urgencia,2013,"1013,00"
3587,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"1041,00"
3588,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"1073,00"
3589,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"1087,00"
3590,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"789,00"
3591,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"326,00"
3592,101598.0,3421047.0,3360303.0,60744.0,0.0,Urgencia,2013,"442,00"
3593,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"294,00"
3594,16590.0,551050.0,551050.0,0.0,7980.0,Urgencia,2013,"378,00"
3595,27643.0,700861.0,466985.0,233876.0,65681.0,Urgencia,2013,"402,00"
3596,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"29,00"
3597,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"450,00"
3598,4900.0,131110.0,121100.0,10010.0,0.0,Urgencia,2013,"656,00"
3599,922260.0,4601809.0,4601809.0,0.0,64415.0,Urgencia,2013,"333,00"
3600,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"668,00"
3601,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"684,00"
3602,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"422,00"
